date,counts
2020-01-20,256
2020-01-21,311
2020-01-22,430
2020-01-23,452
2020-01-24,421
2020-01-25,506
2020-01-26,552
2020-01-27,576
2020-01-28,711
2020-01-29,906
2020-01-30,749
2020-01-31,726
2020-02-01,529
2020-02-02,732
2020-02-03,749
2020-02-04,701
2020-02-05,592
2020-02-06,478
2020-02-07,591
2020-02-08,401
2020-02-09,672
2020-02-10,611
2020-02-11,542
2020-02-12,644
2020-02-13,572
2020-02-14,549
2020-02-15,410
2020-02-16,396
2020-02-17,494
2020-02-18,402
2020-02-19,78
2020-02-20,68
2020-02-21,60
2020-02-22,82
2020-02-23,86
2020-02-24,547
2020-02-25,495
2020-02-26,613
2020-02-27,355
2020-02-28,629
2020-02-29,568
2020-03-01,354
2020-03-02,605
2020-03-03,626
2020-03-04,695
2020-03-05,647
2020-03-06,636
2020-03-07,502
2020-03-08,447
2020-03-09,517
2020-03-10,627
2020-03-11,612
2020-03-12,667
2020-03-13,560
2020-03-14,287
2020-03-15,133
2020-03-16,163
2020-03-17,69
2020-03-18,30
2020-03-19,30
2020-03-20,21
2020-03-21,30
2020-03-22,14
2020-03-23,57
2020-03-24,392
2020-03-25,873
2020-03-26,972
2020-03-27,967
2020-03-28,557
2020-03-29,588
2020-03-30,1052
2020-03-31,1625
2020-04-01,1324
2020-04-02,1155
2020-04-03,1212
2020-04-04,886
2020-04-05,1077
2020-04-06,1326
2020-04-07,1475
2020-04-08,1620
2020-04-09,1607
2020-04-10,1430
2020-04-11,1050
2020-04-12,1012
2020-04-13,1347
2020-04-14,1396
2020-04-15,1516
2020-04-16,1537
2020-04-17,1471
2020-04-18,1051
2020-04-19,1061
2020-04-20,1689
2020-04-21,1327
2020-04-22,1692
2020-04-23,1949
2020-04-24,1711
2020-04-25,1114
2020-04-26,1179
2020-04-27,1412
2020-04-28,1763
2020-04-29,1117
2020-04-30,1266
2020-05-01,1104
2020-05-02,732
2020-05-03,821
2020-05-04,1331
2020-05-05,793
,
,
,
,
