,Date,BO_conf,BN_conf,MM_conf,CF_conf,CD_conf,CI_conf,DO_conf,GM_conf,IR_conf,LA_conf,MD_conf,NL_conf,NE_conf,PH_conf,RU_conf,KR,TW_conf,TZ_conf,US_conf,AE_conf,GB_conf,VN_conf,AF_conf,AL_conf,DZ_conf,AD_conf,AO_conf,AR_conf,AM_conf,AU_conf,AT_conf,AZ_conf,BH_conf,BD_conf,BY_conf,BE_conf,BZ_conf,BJ_conf,BT_conf,BA_conf,BW_conf,BR_conf,BG_conf,BF_conf,CV_conf,KH_conf,CM_conf,CA_conf,TD_conf,CL_conf,CN_conf,CO_conf,CR_conf,HR_conf,CY_conf,CZ_conf,DK_conf,EC_conf,EG_conf,SV_conf,GQ_conf,EE_conf,ET_conf,FJ_conf,FI_conf,FR_conf,GA_conf,GE_conf,DE_conf,GH_conf,GR_conf,GT_conf,GN_conf,HT_conf,HN_conf,HU_conf,IS_conf,IN_conf,ID_conf,IQ_conf,IE_conf,IL_conf,IT_conf,JM_conf,JP_conf,JO_conf,KZ_conf,KE_conf,KW_conf,KG_conf,LV_conf,LB_conf,LR_conf,LY_conf,LI_conf,LT_conf,LU_conf,MG_conf,MW_conf,MY_conf,MV_conf,ML_conf,MT_conf,MR_conf,MU_conf,MX_conf,MC_conf,MN_conf,ME_conf,MA_conf,MZ_conf,NP_conf,NZ_conf,NI_conf,NG_conf,MK_conf,NO_conf,OM_conf,PK_conf,PA_conf,PG_conf,PY_conf,PE_conf,PL_conf,PT_conf,QA_conf,RO_conf,RW_conf,SA_conf,RS_conf,SC_conf,SL_conf,SG_conf,SK_conf,SI_conf,ZA_conf,ES_conf,LK_conf,SR_conf,SE_conf,CH_conf,TH_conf,TL_conf,TG_conf,TT_conf,TN_conf,TR_conf,UG_conf,UA_conf,UY_conf,UZ_conf,YE_conf,ZM_conf,ZW_conf,AD_roam,AE_roam,AF_roam,AL_roam,AM_roam,AO_roam,AR_roam,AT_roam,AU_roam,AZ_roam,BA_roam,BD_roam,BE_roam,BF_roam,BG_roam,BH_roam,BJ_roam,BN_roam,BO_roam,BR_roam,BT_roam,BW_roam,BY_roam,BZ_roam,CA_roam,CD_roam,CF_roam,CH_roam,CI_roam,CL_roam,CM_roam,CN_roam,CO_roam,CR_roam,CV_roam,CY_roam,CZ_roam,DE_roam,DK_roam,DO_roam,DZ_roam,EC_roam,EE_roam,EG_roam,ES_roam,ET_roam,FI_roam,FJ_roam,FR_roam,GA_roam,GB_roam,GE_roam,GH_roam,GM_roam,GN_roam,GQ_roam,GR_roam,GT_roam,HN_roam,HR_roam,HT_roam,HU_roam,ID_roam,IE_roam,IL_roam,IN_roam,IQ_roam,IR_roam,IS_roam,IT_roam,JM_roam,JO_roam,JP_roam,KE_roam,KG_roam,KH_roam,KW_roam,KZ_roam,LA_roam,LB_roam,LI_roam,LK_roam,LR_roam,LT_roam,LU_roam,LV_roam,LY_roam,MA_roam,MC_roam,MD_roam,ME_roam,MG_roam,MK_roam,ML_roam,MM_roam,MN_roam,MR_roam,MT_roam,MU_roam,MV_roam,MW_roam,MX_roam,MY_roam,MZ_roam,NE_roam,NG_roam,NI_roam,NL_roam,NO_roam,NP_roam,NZ_roam,OM_roam,PA_roam,PE_roam,PG_roam,PH_roam,PK_roam,PL_roam,PT_roam,PY_roam,QA_roam,RO_roam,RS_roam,RU_roam,RW_roam,SA_roam,SC_roam,SE_roam,SG_roam,SI_roam,SK_roam,SL_roam,SR_roam,SV_roam,TD_roam,TG_roam,TH_roam,TL_roam,TN_roam,TR_roam,TT_roam,TW_roam,TZ_roam,UA_roam,UG_roam,US_roam,UY_roam,UZ_roam,VN_roam,YE_roam,ZA_roam,ZM_roam,ZW_roam,target
0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,3,0,12,0,18,240,204,30,6,34,56,0,17,0,0,3,15,18,3,3,21,0,122,0,0,188,0,12,0,2453,3,0,0,0,229,450,37,0,9,0,48,16,332,32,67,3,470,0,275,27,0,0,0,0,60,0,0,47,0,166,427,12,292,116,9,12,0,428,0,136,2717,12,27,269,12,110,276,3,0,40,0,15,11,3,0,26,27,0,9,0,0,0,137,134,0,3,12,30,0,53,900,0,0,0,3,131,6,68,163,21,0,36,3,1026,33,92,124,0,71,3,3,305,0,12,3,49,513,53,78,0,3,3,0,0,1382,9,0,274,0,998,6,0,0,701,5,127,2592,0,12,0,0,0.0
1,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,346,3,8,0,0,23,167,182,6,27,45,58,0,12,3,0,30,13,33,0,0,8,0,148,0,0,141,0,30,0,2188,9,6,0,3,153,476,38,0,9,3,31,51,371,9,103,15,466,0,235,12,3,0,0,0,60,3,0,81,3,101,366,24,93,195,6,24,3,365,0,51,2520,6,27,303,6,50,244,0,3,15,0,17,9,12,0,28,17,3,8,0,6,0,110,73,0,3,3,18,0,59,703,0,0,0,0,111,12,25,79,27,3,21,3,975,18,89,182,6,92,6,12,270,12,33,0,55,462,54,43,0,0,0,0,3,1259,0,3,250,0,673,0,12,12,943,22,63,2338,0,21,9,3,0.0
2,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,6,3,0,24,234,208,22,16,33,72,0,11,0,0,13,6,30,0,0,18,3,181,3,0,227,3,28,6,1698,3,3,0,12,158,564,52,0,0,3,28,30,479,27,111,0,485,0,322,33,3,0,0,0,39,9,3,64,0,79,383,23,193,87,3,12,3,436,0,68,2448,9,3,258,12,53,143,3,3,47,0,12,6,3,0,77,22,0,6,0,0,0,75,116,0,9,6,44,0,42,630,0,0,3,9,186,12,9,68,30,0,18,6,890,6,85,165,6,59,9,6,252,27,30,0,58,390,51,50,0,0,6,0,0,1069,3,0,260,0,688,6,3,15,864,14,42,2251,0,0,0,0,1.0
3,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,234,3,9,3,3,15,172,157,6,25,18,27,0,3,3,3,6,6,45,6,3,9,0,111,0,0,152,0,9,0,1403,3,0,0,3,106,395,23,0,3,3,23,102,179,3,77,6,374,0,231,15,0,0,0,0,27,0,0,70,0,81,337,21,44,103,0,15,6,293,0,36,2542,12,30,188,0,79,201,0,3,9,0,9,27,9,0,17,9,0,6,0,6,0,69,57,0,3,3,12,0,60,674,0,0,3,0,84,6,59,127,12,12,12,0,912,6,67,44,9,51,0,3,181,3,15,0,41,400,49,47,0,12,12,0,0,1031,0,3,160,0,705,3,15,6,828,22,82,2336,0,12,0,0,0.0
4,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,343,3,0,6,0,6,218,203,19,19,3,64,0,9,6,6,28,9,15,0,0,9,0,156,0,0,158,0,15,0,2508,6,3,0,6,194,377,27,0,0,0,30,73,487,24,99,0,444,0,270,17,3,0,0,0,41,0,0,59,0,100,303,16,123,41,3,21,3,354,0,52,4823,18,6,198,0,54,235,3,6,6,0,4,9,3,0,22,18,0,6,3,3,0,85,110,0,3,6,18,0,42,873,0,0,0,0,140,9,42,107,12,9,24,12,1365,15,46,181,9,86,3,3,435,3,12,0,65,581,34,31,0,6,0,0,0,1477,0,0,250,0,1075,9,0,0,900,7,45,2695,0,6,0,0,1.0
5,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,3,0,3,0,27,235,232,22,36,4,69,0,8,0,0,3,18,24,0,0,28,0,224,0,0,182,0,9,9,3133,9,6,0,3,175,445,26,0,0,0,42,54,391,40,103,22,494,0,304,21,3,0,0,0,49,0,3,81,0,136,504,12,171,110,3,12,12,487,0,83,5307,6,9,431,12,33,244,3,6,47,0,9,19,9,0,35,19,0,3,3,3,0,80,126,0,30,15,47,0,54,1049,0,0,0,3,166,42,3,146,21,9,33,3,1614,6,43,133,6,89,6,9,424,18,3,3,46,720,50,40,0,6,3,0,3,1872,0,3,288,0,1974,18,0,6,1130,16,60,3681,0,21,0,0,1.0
6,2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,278,3,3,0,0,18,173,201,19,19,18,51,0,9,0,0,53,12,18,0,0,9,0,203,0,0,106,0,15,0,2150,0,0,0,0,195,557,18,3,3,3,37,25,352,9,119,6,476,6,262,20,0,0,0,0,18,3,0,87,3,118,428,24,302,101,0,18,6,241,3,125,3734,3,26,288,6,103,207,0,0,12,0,18,13,3,0,10,24,0,6,0,6,0,86,98,0,6,0,24,0,46,1038,0,0,9,0,148,12,51,55,21,0,27,9,1524,18,81,164,0,90,3,9,319,0,18,0,45,550,57,39,0,6,0,0,0,1544,0,0,286,3,1164,6,3,0,1009,11,65,3604,0,0,0,0,0.0
7,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,3,0,14,0,21,224,191,31,16,18,65,0,6,6,0,9,15,27,0,6,16,0,141,0,0,216,0,18,0,1966,0,3,0,0,187,428,24,0,3,0,46,18,285,24,100,3,448,0,279,17,3,0,0,0,47,0,3,45,0,119,376,15,403,105,3,16,3,358,0,161,3090,12,21,318,15,98,270,3,3,66,0,16,35,3,0,19,17,0,3,6,0,0,108,104,0,15,6,45,0,65,981,0,0,0,0,166,6,59,183,15,0,33,6,1366,3,49,99,9,70,9,3,294,3,12,3,30,563,35,52,0,0,0,0,0,1516,0,0,227,0,978,6,3,9,829,8,127,3023,0,12,3,9,0.0
8,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,4,6,0,3,39,211,185,0,7,21,21,0,3,0,0,26,24,30,0,3,21,6,169,0,0,116,0,19,0,1753,3,3,0,0,155,511,15,0,9,3,33,31,245,3,49,0,346,0,163,9,0,0,0,0,35,6,3,62,6,89,283,9,111,110,6,18,12,274,0,43,2495,9,15,305,0,36,267,3,0,3,0,9,3,3,0,14,13,3,6,0,0,0,90,69,0,9,0,21,0,31,786,0,0,0,6,53,0,9,100,12,9,24,9,1191,18,55,148,9,68,3,0,227,0,30,0,18,493,47,56,0,12,0,0,0,1371,0,0,163,0,774,9,6,0,860,20,3,2687,0,24,9,9,2.0
9,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,373,3,0,12,3,27,176,226,30,12,32,62,0,12,9,0,32,18,27,0,3,15,0,127,0,0,202,0,22,0,1658,3,0,0,12,129,457,51,0,3,3,28,32,352,25,77,3,408,3,273,21,6,0,0,0,41,0,0,55,3,75,337,9,368,89,12,12,0,368,3,161,2748,40,12,286,15,57,177,0,0,42,0,12,14,6,0,24,17,0,9,0,3,0,85,103,0,15,12,19,0,73,772,3,0,3,3,173,12,6,94,21,3,41,6,1088,21,66,159,6,61,6,3,265,7,15,3,45,472,33,40,0,6,3,0,0,1341,0,0,252,0,784,9,0,6,739,8,85,2570,0,21,6,9,1.0
