,Date,MM_conf,LA_conf,NL_conf,PH_conf,RU_conf,KR,TW_conf,US_conf,AE_conf,GB_conf,VN_conf,AU_conf,AT_conf,KH_conf,CA_conf,CN_conf,HR_conf,CZ_conf,EG_conf,FI_conf,FR_conf,DE_conf,HU_conf,IN_conf,ID_conf,IL_conf,IT_conf,JP_conf,MY_conf,MX_conf,MN_conf,NZ_conf,PL_conf,PT_conf,QA_conf,SG_conf,ES_conf,CH_conf,TH_conf,TR_conf,HR_roam,MN_roam,PL_roam,MM_roam,QA_roam,EG_roam,MX_roam,LA_roam,FI_roam,HU_roam,KH_roam,IL_roam,CH_roam,PT_roam,NL_roam,TW_roam,IN_roam,NZ_roam,CZ_roam,CA_roam,AT_roam,RU_roam,SG_roam,AU_roam,AE_roam,ID_roam,TR_roam,GB_roam,PH_roam,MY_roam,IT_roam,ES_roam,FR_roam,DE_roam,JP_roam,TH_roam,VN_roam,US_roam,CN_roam,news,covid_tr,coro_tr,target
0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,134,92,137,71,16,53,276,67,166,269,292,188,124,131,998,116,163,229,122,240,305,513,204,358,427,274,275,1026,900,428,332,470,450,2717,1382,2592,701,2453,430.0,0.0,1.0,0.0
1,2020-01-23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,81,73,89,110,92,51,59,244,103,101,303,93,141,182,111,673,195,79,153,148,167,270,462,182,346,366,250,235,975,703,365,371,466,476,2520,1259,2338,943,2188,452.0,0.0,5.0,0.0
2,2020-01-24,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,277,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,64,116,85,75,59,30,42,143,111,79,258,193,227,165,186,688,87,68,158,181,234,252,390,208,322,383,260,322,890,630,436,479,485,564,2448,1069,2251,864,1698,421.0,0.0,5.0,1.0
3,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,70,57,67,69,51,102,60,201,77,81,188,44,152,44,84,705,103,127,106,111,172,181,400,157,234,337,160,231,912,674,293,179,374,395,2542,1031,2336,828,1403,506.0,0.0,7.0,0.0
4,2020-01-26,0,0,0,0,0,1,1,3,0,0,0,4,0,0,1,669,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,59,110,46,85,86,73,42,235,99,100,198,123,158,181,140,1075,41,107,194,156,218,435,581,203,343,303,250,270,1365,873,354,487,444,377,4823,1477,2695,900,2508,552.0,0.0,8.0,1.0
5,2020-01-27,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,802,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81,126,43,80,89,54,54,244,103,136,431,171,182,133,166,1974,110,146,175,224,235,424,720,232,316,504,288,304,1614,1049,487,391,494,445,5307,1872,3681,1130,3133,576.0,0.0,13.0,1.0
6,2020-01-28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2632,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,6,0,87,98,81,86,90,25,46,207,119,118,288,302,106,164,148,1164,101,55,195,203,173,319,550,201,278,428,286,262,1524,1038,241,352,476,557,3734,1544,3604,1009,2150,711.0,0.0,17.0,0.0
7,2020-01-29,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,578,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,104,49,108,70,18,65,270,100,119,318,403,216,99,166,978,105,183,187,141,224,294,563,191,213,376,227,279,1366,981,358,285,448,428,3090,1516,3023,829,1966,906.0,0.0,12.0,0.0
8,2020-01-30,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,2054,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,62,69,55,90,68,31,31,267,49,89,305,111,116,148,53,774,110,100,155,169,211,227,493,185,277,283,163,163,1191,786,274,245,346,511,2495,1371,2687,860,1753,749.0,0.0,14.0,2.0
9,2020-01-31,0,0,0,0,2,7,1,2,0,2,0,0,0,0,2,1661,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,3,0,0,5,0,55,103,66,85,61,32,73,177,77,75,286,368,202,159,173,784,89,94,129,127,176,265,472,226,373,337,252,273,1088,772,368,352,408,457,2748,1341,2570,739,1658,726.0,0.0,22.0,1.0
10,2020-02-01,0,0,0,0,0,1,0,1,0,0,4,3,0,0,0,2089,0,0,0,0,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,107,71,36,103,88,104,58,218,106,153,331,338,157,71,162,677,153,152,140,162,253,266,404,181,279,330,366,286,1039,737,327,242,520,591,2383,1337,2645,1069,1480,529.0,0.0,19.0,1.0
11,2020-02-02,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,4739,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,92,118,71,131,80,84,61,285,107,112,242,130,175,154,157,608,96,122,194,213,265,383,450,226,280,344,320,277,1235,765,371,444,444,473,3101,1343,2534,1099,1442,732.0,0.0,23.0,2.0
12,2020-02-03,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,3086,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,68,33,90,40,51,57,226,69,110,224,36,171,101,128,655,123,90,165,184,171,249,365,150,170,296,259,269,1185,646,400,261,405,404,2300,1273,2353,841,1302,749.0,0.0,18.0,0.0
13,2020-02-04,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3991,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,6,0,58,54,61,68,56,22,48,185,72,65,217,103,151,171,95,477,125,49,112,166,135,229,302,120,308,235,308,214,1056,499,213,297,394,434,2069,1019,2150,770,1092,701.0,0.0,18.0,1.0
14,2020-02-05,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3733,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,69,98,42,104,72,18,68,208,40,131,214,110,144,110,155,473,67,122,150,145,215,211,298,160,211,236,190,234,965,564,295,293,348,416,1877,889,2167,681,1033,592.0,0.0,19.0,2.0
15,2020-02-06,0,0,0,0,0,4,5,0,0,0,2,1,0,0,0,3147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,64,70,64,96,28,39,197,74,70,239,149,147,210,90,403,132,67,126,161,140,283,318,140,281,232,198,187,1021,525,304,299,317,442,2257,891,1962,820,897,478.0,0.0,18.0,2.0
16,2020-02-07,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,3523,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,136,84,90,101,81,39,61,166,54,129,242,378,181,179,107,474,117,61,180,111,258,253,334,214,341,346,286,296,1013,642,378,392,398,521,2158,856,2137,845,926,591.0,0.0,16.0,0.0
17,2020-02-08,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,2704,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,7,0,103,78,60,87,101,112,61,205,94,117,255,154,166,79,127,466,192,171,121,163,177,266,478,176,328,349,296,280,1001,675,256,193,435,522,1989,908,2168,1113,953,401.0,0.0,13.0,0.0
18,2020-02-09,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3015,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,117,104,65,94,124,96,110,194,89,99,219,162,211,147,151,522,84,118,220,176,280,277,411,179,385,329,307,304,996,547,335,363,448,514,2669,872,2230,1206,1009,672.0,0.0,12.0,0.0
19,2020-02-10,0,0,0,0,0,2,0,0,1,5,1,0,0,0,0,2525,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,115,56,24,84,68,64,63,138,65,111,241,32,210,151,78,444,81,78,163,140,219,255,256,123,299,306,251,247,1014,495,436,346,411,389,2120,772,1885,841,909,611.0,0.0,10.0,0.0
20,2020-02-11,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2032,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,66,74,24,58,77,30,36,106,95,89,161,218,137,181,146,362,135,68,175,129,184,232,291,121,263,269,296,182,832,469,245,358,454,396,1786,662,1630,703,700,542.0,2.0,9.0,1.0
21,2020-02-12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1881,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,96,79,44,74,80,29,43,137,126,119,155,395,153,115,128,348,75,107,177,118,281,255,226,188,235,260,228,276,768,419,361,296,350,423,1629,601,1553,669,744,644.0,2.0,8.0,0.0
22,2020-02-13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13628,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,77,64,72,60,83,48,94,120,90,88,145,252,107,129,109,324,146,67,162,179,151,232,275,123,210,258,185,192,716,401,276,258,344,487,1815,549,1467,814,574,572.0,15.0,9.0,0.0
23,2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6463,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,61,77,64,79,103,21,81,98,105,87,149,742,214,146,140,360,97,87,144,159,229,272,252,209,311,302,361,287,857,432,391,346,393,508,1952,585,1446,799,679,549.0,3.0,8.0,0.0
24,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055,0,0,0,0,1,0,0,0,0,0,0,14,3,0,0,0,0,0,0,5,0,0,0,0,73,72,70,89,66,114,63,120,110,153,138,433,159,111,109,363,164,179,125,172,162,288,322,173,274,375,305,278,799,532,321,266,394,505,1868,568,1531,1128,712,410.0,4.0,7.0,0.0
25,2020-02-16,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,1,0,100,92,47,66,104,82,106,128,98,92,176,271,175,191,115,340,89,118,205,225,273,312,241,193,298,348,277,194,951,397,383,442,366,483,2484,580,1461,1133,699,396.0,5.0,7.0,0.0
26,2020-02-17,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1921,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,1,0,91,72,36,66,56,27,47,90,82,132,134,39,160,127,103,339,90,74,172,117,228,203,234,164,235,275,199,262,951,434,395,410,441,375,1921,483,1357,794,613,494.0,7.0,8.0,0.0
27,2020-02-18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1777,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,29,62,44,47,69,27,40,105,100,60,119,223,145,154,77,259,57,43,124,125,121,187,198,145,261,224,243,256,734,391,184,283,336,316,1589,456,1079,710,529,402.0,7.0,13.0,0.0
